Werk,Kraftstoff,Menge,Einheit,Buchungsdatum
PLT-001,Diesel,1200,L,01.03.2026
PLT-002,Petrol,500,ltr,2026/03/04
WERK-77,Natural Gas,3000,Litres,4 Mar 2026
PLANT-X,Diesel,-200,L,15-03-2026
PLT-009,Fuel Oil,15000,liters,2026.03.12
PLT-ABC,Petrol,NULL,L,2026/13/01
MUM-01,Diesel,950,ltr,31.02.2026
DEL-22,Biofuel,760,Lt,2026/03/09
PLT-404,Diesel,,L,March 11 2026
PLT-777,Petrol,1000000,Litres,2026-03-01
HYD-88,Natural Gas,550,m3,01/03/2026
PLT-515,Diesel,340,LTRS,2026/03/15
PLT-900,Fuel Oil,120,unknown,2026/03/16
PLT-111,Petrol,-50,L,17 Mar 2027
BLR-77,Diesel,860,Liters,2026-03-18
